NUTS;DISTRICT_CODE;SUB_DISTRICT_CODE;REF_YEAR;REF_DATE;SEX;AGR3;AUT;FOR
AT13;90100;90101;2008;20080101;1;1;137;29
AT13;90100;90101;2008;20080101;1;2;1075;326
AT13;90100;90101;2008;20080101;1;3;339;39
AT13;90100;90101;2008;20080101;2;1;147;27
AT13;90100;90101;2008;20080101;2;2;1089;315
AT13;90100;90101;2008;20080101;2;3;508;34
AT13;90100;90102;2008;20080101;1;1;69;11
AT13;90100;90102;2008;20080101;1;2;406;116
AT13;90100;90102;2008;20080101;1;3;127;15
AT13;90100;90102;2008;20080101;2;1;68;23
AT13;90100;90102;2008;20080101;2;2;404;126
AT13;90100;90102;2008;20080101;2;3;203;10
AT13;90100;90103;2008;20080101;1;1;68;17
AT13;90100;90103;2008;20080101;1;2;530;187
AT13;90100;90103;2008;20080101;1;3;186;32
AT13;90100;90103;2008;20080101;2;1;80;29
AT13;90100;90103;2008;20080101;2;2;521;194
AT13;90100;90103;2008;20080101;2;3;252;26
AT13;90100;90104;2008;20080101;1;1;63;9
AT13;90100;90104;2008;20080101;1;2;430;127
AT13;90100;90104;2008;20080101;1;3;135;13
AT13;90100;90104;2008;20080101;2;1;61;14
AT13;90100;90104;2008;20080101;2;2;426;110
AT13;90100;90104;2008;20080101;2;3;178;14
AT13;90100;90105;2008;20080101;1;1;98;29
AT13;90100;90105;2008;20080101;1;2;601;171
AT13;90100;90105;2008;20080101;1;3;143;15
AT13;90100;90105;2008;20080101;2;1;99;21
AT13;90100;90105;2008;20080101;2;2;621;161
AT13;90100;90105;2008;20080101;2;3;229;9
AT13;90100;90106;2008;20080101;1;1;101;17
AT13;90100;90106;2008;20080101;1;2;761;156
AT13;90100;90106;2008;20080101;1;3;209;30
AT13;90100;90106;2008;20080101;2;1;114;10
AT13;90100;90106;2008;20080101;2;2;813;163
AT13;90100;90106;2008;20080101;2;3;340;21
AT13;90100;90107;2008;20080101;1;1;103;20
AT13;90100;90107;2008;20080101;1;2;715;206
AT13;90100;90107;2008;20080101;1;3;246;23
AT13;90100;90107;2008;20080101;2;1;83;32
AT13;90100;90107;2008;20080101;2;2;664;199
AT13;90100;90107;2008;20080101;2;3;370;31
AT13;90100;90199;2008;20080101;1;1;0;0
AT13;90100;90199;2008;20080101;1;2;3;0
AT13;90100;90199;2008;20080101;1;3;0;0
AT13;90100;90199;2008;20080101;2;1;0;0
AT13;90100;90199;2008;20080101;2;2;4;0
AT13;90100;90199;2008;20080101;2;3;0;0
AT13;90200;90201;2008;20080101;1;1;577;131
AT13;90200;90201;2008;20080101;1;2;2302;508
AT13;90200;90201;2008;20080101;1;3;407;22
AT13;90200;90201;2008;20080101;2;1;519;136
AT13;90200;90201;2008;20080101;2;2;2288;571
AT13;90200;90201;2008;20080101;2;3;574;31
AT13;90200;90202;2008;20080101;1;1;505;358
AT13;90200;90202;2008;20080101;1;2;2568;1741
AT13;90200;90202;2008;20080101;1;3;490;79
AT13;90200;90202;2008;20080101;2;1;547;316
AT13;90200;90202;2008;20080101;2;2;2490;1448
AT13;90200;90202;2008;20080101;2;3;825;92
AT13;90200;90203;2008;20080101;1;1;615;265
AT13;90200;90203;2008;20080101;1;2;3312;1181
AT13;90200;90203;2008;20080101;1;3;655;75
AT13;90200;90203;2008;20080101;2;1;595;200
AT13;90200;90203;2008;20080101;2;2;3293;1140
AT13;90200;90203;2008;20080101;2;3;1161;70
AT13;90200;90204;2008;20080101;1;1;790;336
AT13;90200;90204;2008;20080101;1;2;3603;2575
AT13;90200;90204;2008;20080101;1;3;850;67
AT13;90200;90204;2008;20080101;2;1;832;301
AT13;90200;90204;2008;20080101;2;2;3635;1577
AT13;90200;90204;2008;20080101;2;3;1332;70
AT13;90200;90205;2008;20080101;1;1;437;162
AT13;90200;90205;2008;20080101;1;2;2111;979
AT13;90200;90205;2008;20080101;1;3;593;53
AT13;90200;90205;2008;20080101;2;1;389;186
AT13;90200;90205;2008;20080101;2;2;2202;885
AT13;90200;90205;2008;20080101;2;3;962;66
AT13;90200;90206;2008;20080101;1;1;317;88
AT13;90200;90206;2008;20080101;1;2;1679;489
AT13;90200;90206;2008;20080101;1;3;445;24
AT13;90200;90206;2008;20080101;2;1;296;84
AT13;90200;90206;2008;20080101;2;2;1744;429
AT13;90200;90206;2008;20080101;2;3;780;24
AT13;90200;90207;2008;20080101;1;1;585;354
AT13;90200;90207;2008;20080101;1;2;2901;2127
AT13;90200;90207;2008;20080101;1;3;625;89
AT13;90200;90207;2008;20080101;2;1;582;352
AT13;90200;90207;2008;20080101;2;2;2824;1869
AT13;90200;90207;2008;20080101;2;3;1096;82
AT13;90200;90208;2008;20080101;1;1;115;18
AT13;90200;90208;2008;20080101;1;2;434;89
AT13;90200;90208;2008;20080101;1;3;145;5
AT13;90200;90208;2008;20080101;2;1;92;18
AT13;90200;90208;2008;20080101;2;2;469;85
AT13;90200;90208;2008;20080101;2;3;195;2
AT13;90200;90209;2008;20080101;1;1;1066;237
AT13;90200;90209;2008;20080101;1;2;3664;1157
AT13;90200;90209;2008;20080101;1;3;871;68
AT13;90200;90209;2008;20080101;2;1;1010;217
AT13;90200;90209;2008;20080101;2;2;3822;1116
AT13;90200;90209;2008;20080101;2;3;1455;88
AT13;90200;90210;2008;20080101;1;1;0;0
AT13;90200;90210;2008;20080101;1;2;0;1
AT13;90200;90210;2008;20080101;1;3;0;1
AT13;90200;90210;2008;20080101;2;1;0;0
AT13;90200;90210;2008;20080101;2;2;0;0
AT13;90200;90210;2008;20080101;2;3;0;0
AT13;90200;90299;2008;20080101;1;1;5;1
AT13;90200;90299;2008;20080101;1;2;17;6
AT13;90200;90299;2008;20080101;1;3;3;1
AT13;90200;90299;2008;20080101;2;1;2;2
AT13;90200;90299;2008;20080101;2;2;15;3
AT13;90200;90299;2008;20080101;2;3;3;0
AT13;90300;90301;2008;20080101;1;1;525;117
AT13;90300;90301;2008;20080101;1;2;2975;990
AT13;90300;90301;2008;20080101;1;3;585;55
AT13;90300;90301;2008;20080101;2;1;534;163
AT13;90300;90301;2008;20080101;2;2;3133;889
AT13;90300;90301;2008;20080101;2;3;917;70
AT13;90300;90302;2008;20080101;1;1;437;65
AT13;90300;90302;2008;20080101;1;2;2246;527
AT13;90300;90302;2008;20080101;1;3;565;51
AT13;90300;90302;2008;20080101;2;1;406;68
AT13;90300;90302;2008;20080101;2;2;2567;601
AT13;90300;90302;2008;20080101;2;3;852;44
AT13;90300;90303;2008;20080101;1;1;289;72
AT13;90300;90303;2008;20080101;1;2;1503;456
AT13;90300;90303;2008;20080101;1;3;395;44
AT13;90300;90303;2008;20080101;2;1;289;82
AT13;90300;90303;2008;20080101;2;2;1648;523
AT13;90300;90303;2008;20080101;2;3;658;56
AT13;90300;90304;2008;20080101;1;1;438;197
AT13;90300;90304;2008;20080101;1;2;2371;1383
AT13;90300;90304;2008;20080101;1;3;563;83
AT13;90300;90304;2008;20080101;2;1;377;195
AT13;90300;90304;2008;20080101;2;2;2398;1286
AT13;90300;90304;2008;20080101;2;3;1024;87
AT13;90300;90305;2008;20080101;1;1;407;131
AT13;90300;90305;2008;20080101;1;2;2000;658
AT13;90300;90305;2008;20080101;1;3;399;41
AT13;90300;90305;2008;20080101;2;1;387;111
AT13;90300;90305;2008;20080101;2;2;2216;671
AT13;90300;90305;2008;20080101;2;3;661;37
AT13;90300;90306;2008;20080101;1;1;699;212
AT13;90300;90306;2008;20080101;1;2;3871;1258
AT13;90300;90306;2008;20080101;1;3;782;77
AT13;90300;90306;2008;20080101;2;1;684;190
AT13;90300;90306;2008;20080101;2;2;4196;1217
AT13;90300;90306;2008;20080101;2;3;1453;80
AT13;90300;90307;2008;20080101;1;1;225;71
AT13;90300;90307;2008;20080101;1;2;1006;447
AT13;90300;90307;2008;20080101;1;3;306;17
AT13;90300;90307;2008;20080101;2;1;224;62
AT13;90300;90307;2008;20080101;2;2;1114;333
AT13;90300;90307;2008;20080101;2;3;633;11
AT13;90300;90308;2008;20080101;1;1;66;7
AT13;90300;90308;2008;20080101;1;2;516;61
AT13;90300;90308;2008;20080101;1;3;205;4
AT13;90300;90308;2008;20080101;2;1;62;7
AT13;90300;90308;2008;20080101;2;2;471;52
AT13;90300;90308;2008;20080101;2;3;298;1
AT13;90300;90309;2008;20080101;1;1;455;71
AT13;90300;90309;2008;20080101;1;2;2337;521
AT13;90300;90309;2008;20080101;1;3;543;50
AT13;90300;90309;2008;20080101;2;1;447;87
AT13;90300;90309;2008;20080101;2;2;2509;589
AT13;90300;90309;2008;20080101;2;3;863;49
AT13;90300;90310;2008;20080101;1;1;454;136
AT13;90300;90310;2008;20080101;1;2;1948;850
AT13;90300;90310;2008;20080101;1;3;335;48
AT13;90300;90310;2008;20080101;2;1;438;118
AT13;90300;90310;2008;20080101;2;2;1994;708
AT13;90300;90310;2008;20080101;2;3;533;47
AT13;90300;90311;2008;20080101;1;1;134;28
AT13;90300;90311;2008;20080101;1;2;620;156
AT13;90300;90311;2008;20080101;1;3;190;4
AT13;90300;90311;2008;20080101;2;1;143;34
AT13;90300;90311;2008;20080101;2;2;640;137
AT13;90300;90311;2008;20080101;2;3;326;9
AT13;90300;90399;2008;20080101;1;1;1;0
AT13;90300;90399;2008;20080101;1;2;5;5
AT13;90300;90399;2008;20080101;1;3;1;1
AT13;90300;90399;2008;20080101;2;1;3;0
AT13;90300;90399;2008;20080101;2;2;8;7
AT13;90300;90399;2008;20080101;2;3;26;6
AT13;90400;90401;2008;20080101;1;1;86;33
AT13;90400;90401;2008;20080101;1;2;566;212
AT13;90400;90401;2008;20080101;1;3;148;28
AT13;90400;90401;2008;20080101;2;1;75;33
AT13;90400;90401;2008;20080101;2;2;552;254
AT13;90400;90401;2008;20080101;2;3;240;23
AT13;90400;90402;2008;20080101;1;1;448;142
AT13;90400;90402;2008;20080101;1;2;2400;919
AT13;90400;90402;2008;20080101;1;3;539;44
AT13;90400;90402;2008;20080101;2;1;447;133
AT13;90400;90402;2008;20080101;2;2;2558;929
AT13;90400;90402;2008;20080101;2;3;950;54
AT13;90400;90403;2008;20080101;1;1;484;131
AT13;90400;90403;2008;20080101;1;2;3112;1026
AT13;90400;90403;2008;20080101;1;3;714;76
AT13;90400;90403;2008;20080101;2;1;498;150
AT13;90400;90403;2008;20080101;2;2;3302;1029
AT13;90400;90403;2008;20080101;2;3;1262;74
AT13;90400;90404;2008;20080101;1;1;329;86
AT13;90400;90404;2008;20080101;1;2;1684;487
AT13;90400;90404;2008;20080101;1;3;432;28
AT13;90400;90404;2008;20080101;2;1;347;90
AT13;90400;90404;2008;20080101;2;2;1806;515
AT13;90400;90404;2008;20080101;2;3;754;30
AT13;90400;90499;2008;20080101;1;1;0;0
AT13;90400;90499;2008;20080101;1;2;0;0
AT13;90400;90499;2008;20080101;1;3;0;0
AT13;90400;90499;2008;20080101;2;1;1;0
AT13;90400;90499;2008;20080101;2;2;1;1
AT13;90400;90499;2008;20080101;2;3;0;0
AT13;90500;90501;2008;20080101;1;1;483;142
AT13;90500;90501;2008;20080101;1;2;3087;1062
AT13;90500;90501;2008;20080101;1;3;571;41
AT13;90500;90501;2008;20080101;2;1;494;115
AT13;90500;90501;2008;20080101;2;2;3258;962
AT13;90500;90501;2008;20080101;2;3;949;61
AT13;90500;90502;2008;20080101;1;1;1055;345
AT13;90500;90502;2008;20080101;1;2;4818;2040
AT13;90500;90502;2008;20080101;1;3;918;89
AT13;90500;90502;2008;20080101;2;1;1025;299
AT13;90500;90502;2008;20080101;2;2;4893;1882
AT13;90500;90502;2008;20080101;2;3;1655;116
AT13;90500;90503;2008;20080101;1;1;705;363
AT13;90500;90503;2008;20080101;1;2;3766;2193
AT13;90500;90503;2008;20080101;1;3;658;87
AT13;90500;90503;2008;20080101;2;1;736;335
AT13;90500;90503;2008;20080101;2;2;3800;1953
AT13;90500;90503;2008;20080101;2;3;1225;117
AT13;90500;90504;2008;20080101;1;1;229;94
AT13;90500;90504;2008;20080101;1;2;1617;758
AT13;90500;90504;2008;20080101;1;3;246;30
AT13;90500;90504;2008;20080101;2;1;241;94
AT13;90500;90504;2008;20080101;2;2;1715;637
AT13;90500;90504;2008;20080101;2;3;422;35
AT13;90500;90599;2008;20080101;1;1;0;1
AT13;90500;90599;2008;20080101;1;2;8;3
AT13;90500;90599;2008;20080101;1;3;0;0
AT13;90500;90599;2008;20080101;2;1;2;0
AT13;90500;90599;2008;20080101;2;2;4;0
AT13;90500;90599;2008;20080101;2;3;0;0
AT13;90600;90601;2008;20080101;1;1;317;54
AT13;90600;90601;2008;20080101;1;2;2181;595
AT13;90600;90601;2008;20080101;1;3;419;49
