Medizinische Versorgung durch ÄrztInnen und Ärzte (Allgemeinmedizin, Fachmedizin und Zahnmedizin) sowie Apotheken (absolut und pro 1.000 EinwohnerInnen) seit 2002 - Bezirke Wien | Medical care by doctors (general practitioner, medical specialists and dentists) as well as pharmacies (absolute and per 1,000 inhabitants) since 2002 - districts of Vienna;;;;;;;;;;;;
NUTS;DISTRICT_CODE;SUB_DISTRICT_CODE;REF_YEAR;REF_DATE;ALL_VALUE;ZAH_VALUE;FAC_VALUE;APO_VALUE;ALL_DENSITY;ZAH_DENSITY;FAC_DENSITY;APO_DENSITY
AT13;90000;90000;2002;20021231;1.572;948;3.131;288;0,99;0,60;1,98;0,18
AT13;90100;90100;2002;20021231;65;82;245;21;3,69;4,66;13,92;1,19
AT13;90200;90200;2002;20021231;70;39;112;18;0,78;0,44;1,25;0,20
AT13;90300;90300;2002;20021231;79;46;164;16;0,96;0,56;1,99;0,19
AT13;90400;90400;2002;20021231;48;34;106;8;1,64;1,16;3,63;0,27
AT13;90500;90500;2002;20021231;51;26;55;9;1,02;0,52;1,10;0,18
AT13;90600;90600;2002;20021231;43;34;112;7;1,50;1,18;3,90;0,24
AT13;90700;90700;2002;20021231;55;35;98;9;1,90;1,21;3,38;0,31
AT13;90800;90800;2002;20021231;57;33;186;5;2,51;1,45;8,19;0,22
AT13;90900;90900;2002;20021231;68;75;327;13;1,78;1,96;8,56;0,34
AT13;91000;91000;2002;20021231;101;58;105;22;0,65;0,37;0,68;0,14
AT13;91100;91100;2002;20021231;51;24;52;11;0,64;0,30;0,65;0,14
AT13;91200;91200;2002;20021231;72;41;102;13;0,90;0,51;1,28;0,16
AT13;91300;91300;2002;20021231;83;30;194;6;1,64;0,59;3,84;0,12
AT13;91400;91400;2002;20021231;75;41;123;13;0,94;0,51;1,54;0,16
AT13;91500;91500;2002;20021231;54;32;83;12;0,80;0,47;1,22;0,18
AT13;91600;91600;2002;20021231;81;46;94;15;0,91;0,52;1,06;0,17
AT13;91700;91700;2002;20021231;42;29;95;7;0,86;0,59;1,93;0,14
AT13;91800;91800;2002;20021231;79;38;202;12;1,73;0,83;4,41;0,26
AT13;91900;91900;2002;20021231;100;46;300;11;1,52;0,70;4,56;0,17
AT13;92000;92000;2002;20021231;52;29;58;11;0,67;0,37;0,75;0,14
AT13;92100;92100;2002;20021231;90;49;104;19;0,69;0,37;0,80;0,15
AT13;92200;92200;2002;20021231;79;50;122;17;0,57;0,36;0,88;0,12
AT13;92300;92300;2002;20021231;77;31;92;13;0,89;0,36;1,07;0,15
AT13;90000;90000;2003;20031231;1.621;953;3.239;294;1,01;0,60;2,02;0,18
AT13;90100;90100;2003;20031231;72;83;254;21;4,13;4,76;14,56;1,20
AT13;90200;90200;2003;20031231;74;39;120;18;0,82;0,43;1,33;0,20
AT13;90300;90300;2003;20031231;83;49;172;16;1,01;0,59;2,09;0,19
AT13;90400;90400;2003;20031231;50;35;115;8;1,70;1,19;3,92;0,27
AT13;90500;90500;2003;20031231;48;27;52;9;0,95;0,53;1,03;0,18
AT13;90600;90600;2003;20031231;49;34;121;7;1,70;1,18;4,20;0,24
AT13;90700;90700;2003;20031231;56;34;101;9;1,93;1,17;3,48;0,31
AT13;90800;90800;2003;20031231;55;32;199;5;2,36;1,37;8,55;0,21
AT13;90900;90900;2003;20031231;76;72;334;13;1,97;1,87;8,67;0,34
AT13;91000;91000;2003;20031231;101;58;103;23;0,64;0,37;0,65;0,15
AT13;91100;91100;2003;20031231;48;24;51;11;0,59;0,30;0,63;0,14
AT13;91200;91200;2003;20031231;73;42;104;14;0,90;0,52;1,28;0,17
AT13;91300;91300;2003;20031231;89;30;201;6;1,75;0,59;3,95;0,12
AT13;91400;91400;2003;20031231;74;40;127;13;0,92;0,50;1,58;0,16
AT13;91500;91500;2003;20031231;53;29;85;12;0,78;0,42;1,25;0,18
AT13;91600;91600;2003;20031231;81;45;96;15;0,91;0,50;1,07;0,17
AT13;91700;91700;2003;20031231;44;29;98;8;0,88;0,58;1,97;0,16
AT13;91800;91800;2003;20031231;81;42;206;12;1,76;0,91;4,47;0,26
AT13;91900;91900;2003;20031231;109;46;316;11;1,65;0,69;4,77;0,17
AT13;92000;92000;2003;20031231;52;33;59;11;0,66;0,42;0,75;0,14
AT13;92100;92100;2003;20031231;91;49;107;21;0,68;0,37;0,81;0,16
AT13;92200;92200;2003;20031231;82;51;123;17;0,58;0,36;0,87;0,12
AT13;92300;92300;2003;20031231;80;30;95;14;0,92;0,35;1,09;0,16
AT13;90000;90000;2004;20041231;1.691;963;3.302;295;1,04;0,59;2,04;0,18
AT13;90100;90100;2004;20041231;82;83;260;21;4,74;4,80;15,04;1,21
AT13;90200;90200;2004;20041231;78;38;121;18;0,86;0,42;1,33;0,20
AT13;90300;90300;2004;20041231;87;48;172;16;1,04;0,58;2,06;0,19
AT13;90400;90400;2004;20041231;49;38;108;8;1,66;1,29;3,67;0,27
AT13;90500;90500;2004;20041231;51;27;55;9;0,99;0,53;1,07;0,18
AT13;90600;90600;2004;20041231;47;31;115;7;1,62;1,07;3,98;0,24
AT13;90700;90700;2004;20041231;57;35;102;9;1,97;1,21;3,52;0,31
AT13;90800;90800;2004;20041231;62;33;207;5;2,65;1,41;8,84;0,21
AT13;90900;90900;2004;20041231;82;76;348;13;2,09;1,94;8,88;0,33
AT13;91000;91000;2004;20041231;103;60;104;23;0,64;0,37;0,65;0,14
AT13;91100;91100;2004;20041231;55;24;53;11;0,67;0,29;0,65;0,13
AT13;91200;91200;2004;20041231;74;42;106;14;0,90;0,51;1,28;0,17
AT13;91300;91300;2004;20041231;92;29;195;6;1,80;0,57;3,81;0,12
AT13;91400;91400;2004;20041231;78;40;134;13;0,96;0,49;1,65;0,16
AT13;91500;91500;2004;20041231;59;29;85;12;0,86;0,42;1,23;0,17
AT13;91600;91600;2004;20041231;77;47;93;15;0,85;0,52;1,02;0,17
AT13;91700;91700;2004;20041231;47;30;102;8;0,92;0,59;2,01;0,16
AT13;91800;91800;2004;20041231;86;42;222;12;1,85;0,90;4,77;0,26
AT13;91900;91900;2004;20041231;107;47;329;11;1,61;0,71;4,94;0,17
AT13;92000;92000;2004;20041231;55;33;57;11;0,69;0,41;0,71;0,14
AT13;92100;92100;2004;20041231;92;49;111;21;0,68;0,36;0,83;0,16
AT13;92200;92200;2004;20041231;88;50;122;17;0,61;0,35;0,85;0,12
AT13;92300;92300;2004;20041231;83;32;101;15;0,95;0,37;1,16;0,17
AT13;90000;90000;2005;20051231;1.732;964;3.358;296;1,06;0,59;2,05;0,18
AT13;90100;90100;2005;20051231;92;86;265;21;5,33;4,98;15,36;1,22
AT13;90200;90200;2005;20051231;83;39;129;18;0,91;0,43;1,41;0,20
AT13;90300;90300;2005;20051231;87;50;174;16;1,04;0,60;2,07;0,19
AT13;90400;90400;2005;20051231;53;37;107;8;1,78;1,24;3,59;0,27
AT13;90500;90500;2005;20051231;47;27;61;9;0,90;0,52;1,17;0,17
AT13;90600;90600;2005;20051231;52;30;121;7;1,78;1,03;4,14;0,24
AT13;90700;90700;2005;20051231;65;34;98;9;2,19;1,15;3,31;0,30
AT13;90800;90800;2005;20051231;63;33;211;5;2,68;1,40;8,98;0,21
AT13;90900;90900;2005;20051231;81;72;352;13;2,06;1,83;8,95;0,33
AT13;91000;91000;2005;20051231;106;60;103;23;0,64;0,36;0,62;0,14
AT13;91100;91100;2005;20051231;53;26;53;11;0,64;0,31;0,64;0,13
AT13;91200;91200;2005;20051231;72;43;100;14;0,86;0,51;1,19;0,17
AT13;91300;91300;2005;20051231;94;31;201;6;1,83;0,60;3,92;0,12
AT13;91400;91400;2005;20051231;77;40;138;13;0,94;0,49;1,68;0,16
AT13;91500;91500;2005;20051231;61;30;92;12;0,87;0,43;1,31;0,17
AT13;91600;91600;2005;20051231;81;46;104;15;0,87;0,49;1,12;0,16
AT13;91700;91700;2005;20051231;50;32;98;8;0,96;0,62;1,89;0,15
AT13;91800;91800;2005;20051231;83;42;212;12;1,77;0,89;4,51;0,26
AT13;91900;91900;2005;20051231;111;46;346;11;1,65;0,69;5,16;0,16
AT13;92000;92000;2005;20051231;56;30;57;11;0,69;0,37;0,70;0,14
AT13;92100;92100;2005;20051231;94;48;114;22;0,69;0,35;0,84;0,16
AT13;92200;92200;2005;20051231;87;51;121;17;0,60;0,35;0,83;0,12
AT13;92300;92300;2005;20051231;84;31;101;15;0,95;0,35;1,14;0,17
AT13;90000;90000;2006;20061231;1.436;986;3.063;297;0,87;0,60;1,85;0,18
AT13;90100;90100;2006;20061231;60;85;245;21;3,48;4,93;14,21;1,22
AT13;90200;90200;2006;20061231;78;39;111;18;0,84;0,42;1,19;0,19
AT13;90300;90300;2006;20061231;72;52;169;16;0,86;0,62;2,01;0,19
AT13;90400;90400;2006;20061231;40;37;97;8;1,33;1,23;3,22;0,27
AT13;90500;90500;2006;20061231;38;29;60;9;0,73;0,55;1,15;0,17
AT13;90600;90600;2006;20061231;38;29;111;7;1,29;0,99;3,77;0,24
AT13;90700;90700;2006;20061231;53;34;87;9;1,77;1,14;2,91;0,30
AT13;90800;90800;2006;20061231;46;37;182;5;1,95;1,56;7,70;0,21
AT13;90900;90900;2006;20061231;55;78;327;13;1,40;1,99;8,35;0,33
AT13;91000;91000;2006;20061231;102;62;98;23;0,61;0,37;0,58;0,14
AT13;91100;91100;2006;20061231;44;27;52;11;0,53;0,33;0,63;0,13
AT13;91200;91200;2006;20061231;65;43;98;15;0,77;0,51;1,16;0,18
AT13;91300;91300;2006;20061231;74;35;171;6;1,44;0,68;3,33;0,12
AT13;91400;91400;2006;20061231;65;40;128;13;0,78;0,48;1,54;0,16
AT13;91500;91500;2006;20061231;54;29;85;12;0,77;0,41;1,21;0,17
AT13;91600;91600;2006;20061231;73;45;95;15;0,78;0,48;1,01;0,16
AT13;91700;91700;2006;20061231;43;32;92;8;0,82;0,61;1,75;0,15
