Anzahl der Privathaushalte nach Größe seit 2012 - Zählbezirke Wien | Number of private households by size since 2012 - subdistricts of Vienna,,,,,,,,,
NUTS,DISTRICT_CODE,SUB_DISTRICT_CODE,REF_YEAR,REF_DATE,1_PH,2_PH,3-5_PH,6p_PH,ANST
AT13,90100,90101,2012,20121031,1171,564,390,19,3
AT13,90100,90102,2012,20121031,392,204,178,16,0
AT13,90100,90103,2012,20121031,489,302,230,17,1
AT13,90100,90104,2012,20121031,313,235,171,12,3
AT13,90100,90105,2012,20121031,497,293,248,18,0
AT13,90100,90106,2012,20121031,812,335,267,18,1
AT13,90100,90107,2012,20121031,775,360,274,21,3
AT13,90200,90201,2012,20121031,2460,1541,1418,116,3
AT13,90200,90202,2012,20121031,2470,1492,1319,133,1
AT13,90200,90203,2012,20121031,3177,1690,1384,80,4
AT13,90200,90204,2012,20121031,3100,1976,1596,192,5
AT13,90200,90205,2012,20121031,2207,1301,963,99,3
AT13,90200,90206,2012,20121031,1567,1016,756,35,2
AT13,90200,90207,2012,20121031,3484,1821,1401,105,0
AT13,90200,90208,2012,20121031,389,339,238,16,1
AT13,90200,90209,2012,20121031,2831,2046,1972,215,4
AT13,90200,90210,2012,20121031,0,1,0,0,0
AT13,90300,90301,2012,20121031,2685,1685,1248,55,1
AT13,90300,90302,2012,20121031,2059,1304,978,65,3
AT13,90300,90303,2012,20121031,1413,778,750,46,6
AT13,90300,90304,2012,20121031,2843,1585,1142,53,2
AT13,90300,90305,2012,20121031,1966,1200,917,41,1
AT13,90300,90306,2012,20121031,4349,2118,1558,91,4
AT13,90300,90307,2012,20121031,1122,719,583,36,3
AT13,90300,90308,2012,20121031,356,268,131,5,1
AT13,90300,90309,2012,20121031,2035,1281,1031,51,0
AT13,90300,90310,2012,20121031,1884,990,875,80,2
AT13,90300,90311,2012,20121031,875,488,385,24,0
AT13,90400,90401,2012,20121031,622,316,245,22,0
AT13,90400,90402,2012,20121031,2572,1411,1123,57,1
AT13,90400,90403,2012,20121031,3014,1784,1266,74,7
AT13,90400,90404,2012,20121031,1620,957,810,42,2
AT13,90500,90501,2012,20121031,3285,1770,1132,59,3
AT13,90500,90502,2012,20121031,4982,2657,2160,160,1
AT13,90500,90503,2012,20121031,4164,2216,1769,111,6
