Bevölkerung nach Geschlecht und nach Größe des bewohnten Privathaushaltes seit 2012 - Zählbezirke Wien | Population by sex and size of inhabited private household since 2012 - subdistricts of Vienna
NUTS;DISTRICT_CODE;SUB_DISTRICT_CODE;REF_DATE;REF_YEAR;SEX;1_PH;2_PH;3-5_PH;6p_PH;ANST
AT13;90100;90101;20121031;2012;1;531;534;669;66;45
AT13;90100;90101;20121031;2012;2;640;594;703;70;1
AT13;90100;90102;20121031;2012;1;191;187;300;46;1
AT13;90100;90102;20121031;2012;2;201;221;339;61;2
AT13;90100;90103;20121031;2012;1;233;291;406;56;11
AT13;90100;90103;20121031;2012;2;256;313;418;57;12
AT13;90100;90104;20121031;2012;1;145;224;289;42;25
AT13;90100;90104;20121031;2012;2;168;246;331;39;34
AT13;90100;90105;20121031;2012;1;224;274;430;62;2
AT13;90100;90105;20121031;2012;2;273;312;447;58;1
AT13;90100;90106;20121031;2012;1;352;328;434;57;25
AT13;90100;90106;20121031;2012;2;460;342;496;61;1
AT13;90100;90107;20121031;2012;1;356;353;490;66;32
AT13;90100;90107;20121031;2012;2;419;367;475;72;1
AT13;90200;90201;20121031;2012;1;1182;1483;2596;372;167
AT13;90200;90201;20121031;2012;2;1278;1599;2551;373;184
AT13;90200;90202;20121031;2012;1;1205;1477;2419;446;86
AT13;90200;90202;20121031;2012;2;1265;1507;2344;443;77
AT13;90200;90203;20121031;2012;1;1523;1600;2386;299;134
AT13;90200;90203;20121031;2012;2;1654;1780;2454;285;195
AT13;90200;90204;20121031;2012;1;1414;1886;2870;726;327
AT13;90200;90204;20121031;2012;2;1686;2066;2880;711;176
AT13;90200;90205;20121031;2012;1;946;1241;1755;370;34
AT13;90200;90205;20121031;2012;2;1261;1361;1700;316;7
AT13;90200;90206;20121031;2012;1;719;966;1320;118;12
AT13;90200;90206;20121031;2012;2;848;1066;1346;112;83
AT13;90200;90207;20121031;2012;1;1674;1781;2560;365;20
AT13;90200;90207;20121031;2012;2;1810;1861;2458;331;5
AT13;90200;90208;20121031;2012;1;162;322;427;59;34
AT13;90200;90208;20121031;2012;2;227;356;420;50;119
AT13;90200;90209;20121031;2012;1;1240;1938;3665;689;153
AT13;90200;90209;20121031;2012;2;1591;2154;3568;711;407
AT13;90200;90210;20121031;2012;1;0;2;0;0;0
AT13;90300;90301;20121031;2012;1;1196;1617;2158;192;42
AT13;90300;90301;20121031;2012;2;1489;1753;2259;175;19
AT13;90300;90302;20121031;2012;1;864;1203;1736;218;8
AT13;90300;90302;20121031;2012;2;1195;1405;1710;223;57
AT13;90300;90303;20121031;2012;1;622;718;1299;141;17
AT13;90300;90303;20121031;2012;2;791;838;1382;165;65
AT13;90300;90304;20121031;2012;1;1231;1527;2065;183;39
AT13;90300;90304;20121031;2012;2;1612;1643;1983;164;116
AT13;90300;90305;20121031;2012;1;848;1129;1653;118;26
AT13;90300;90305;20121031;2012;2;1118;1271;1598;147;66
AT13;90300;90306;20121031;2012;1;1885;2016;2722;278;33
AT13;90300;90306;20121031;2012;2;2464;2220;2802;299;113
AT13;90300;90307;20121031;2012;1;494;672;1046;106;128
AT13;90300;90307;20121031;2012;2;628;766;1054;135;259
AT13;90300;90308;20121031;2012;1;146;261;238;17;159
AT13;90300;90308;20121031;2012;2;210;275;229;16;108
AT13;90300;90309;20121031;2012;1;878;1203;1829;164;2
AT13;90300;90309;20121031;2012;2;1157;1359;1866;169;0
AT13;90300;90310;20121031;2012;1;909;933;1584;270;114
AT13;90300;90310;20121031;2012;2;975;1047;1566;251;28
AT13;90300;90311;20121031;2012;1;383;454;657;80;10
AT13;90300;90311;20121031;2012;2;492;522;703;72;0
AT13;90400;90401;20121031;2012;1;283;312;408;68;2
AT13;90400;90401;20121031;2012;2;339;320;457;72;1
AT13;90400;90402;20121031;2012;1;1155;1348;1974;186;19
AT13;90400;90402;20121031;2012;2;1417;1474;2020;193;14
AT13;90400;90403;20121031;2012;1;1337;1711;2154;224;189
AT13;90400;90403;20121031;2012;2;1677;1857;2325;243;325
AT13;90400;90404;20121031;2012;1;703;895;1386;139;57
AT13;90400;90404;20121031;2012;2;917;1019;1495;135;94
AT13;90500;90501;20121031;2012;1;1480;1747;1986;202;53
AT13;90500;90501;20121031;2012;2;1805;1793;2031;176;63
AT13;90500;90502;20121031;2012;1;2329;2575;3935;513;27
AT13;90500;90502;20121031;2012;2;2653;2739;3878;521;7
AT13;90500;90503;20121031;2012;1;2055;2162;3227;348;181
AT13;90500;90503;20121031;2012;2;2109;2270;3127;369;391
AT13;90500;90504;20121031;2012;1;822;960;1125;160;3
AT13;90500;90504;20121031;2012;2;899;986;1164;145;0
AT13;90600;90601;20121031;2012;1;875;1051;1373;118;159
AT13;90600;90601;20121031;2012;2;967;1187;1493;95;102
AT13;90600;90602;20121031;2012;1;1222;1365;1655;224;216
AT13;90600;90602;20121031;2012;2;1394;1427;1658;202;86
AT13;90600;90603;20121031;2012;1;1537;1888;2357;253;188
AT13;90600;90603;20121031;2012;2;1936;1950;2383;232;439
AT13;90700;90701;20121031;2012;1;669;770;1067;62;15
AT13;90700;90701;20121031;2012;2;812;866;1070;79;1
AT13;90700;90702;20121031;2012;1;376;424;536;28;2
AT13;90700;90702;20121031;2012;2;428;470;609;23;0
AT13;90700;90703;20121031;2012;1;604;687;811;83;17
AT13;90700;90703;20121031;2012;2;709;739;887;77;30
AT13;90700;90704;20121031;2012;1;1240;1300;1723;148;185
AT13;90700;90704;20121031;2012;2;1363;1516;1749;150;397
AT13;90700;90705;20121031;2012;1;1084;1101;1351;84;12
AT13;90700;90705;20121031;2012;2;1250;1241;1372;88;8
AT13;90800;90801;20121031;2012;1;511;639;904;97;761
AT13;90800;90801;20121031;2012;2;611;703;923;88;152
AT13;90800;90802;20121031;2012;1;1195;1549;1989;166;227
AT13;90800;90802;20121031;2012;2;1586;1701;2123;149;350
AT13;90800;90803;20121031;2012;1;946;1055;1334;112;118
AT13;90800;90803;20121031;2012;2;1240;1137;1324;111;89
AT13;90900;90901;20121031;2012;1;1150;1228;1390;125;79
AT13;90900;90901;20121031;2012;2;1432;1306;1391;141;49
AT13;90900;90902;20121031;2012;1;1206;1504;1983;141;453
AT13;90900;90902;20121031;2012;2;1541;1654;2012;137;340
AT13;90900;90903;20121031;2012;1;551;574;731;92;8
AT13;90900;90903;20121031;2012;2;704;662;770;103;7
AT13;90900;90904;20121031;2012;1;1197;1272;1591;117;288
AT13;90900;90904;20121031;2012;2;1492;1410;1573;129;212
AT13;90900;90905;20121031;2012;1;535;671;1093;112;20
AT13;90900;90905;20121031;2012;2;715;753;1171;129;24
AT13;90900;90906;20121031;2012;1;187;231;438;40;81
AT13;90900;90906;20121031;2012;2;242;259;454;51;113
