Wohnungen in den 250 Zaehlbezirken in Wien - Registerzaehlung 2011 | Housing units in 250 sub-districts in Vienna - Census 2011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;WHG_TOTAL;WHG_WSA_1;WHG_WSA_0;WHG_NOC_0;WHG_NOC_1;WHG_NOC_2;WHG_NOC_3;WHG_NOC_4;WHG_RECHTSVERH_1;WHG_RECHTSVERH_2;WHG_RECHTSVERH_3;WHG_RECHTSVERH_4;WHG_NOR_1;WHG_NOR_2;WHG_NOR_3;WHG_NOR_4;WHG_NTZFL_1;WHG_NTZFL_2;WHG_NTZFL_3;WHG_NTZFL_4;WHG_NTZFL_5;WHG_BEHEIZ_1;WHG_BEHEIZ_0;WHG_BAD_1;WHG_BAD_0;WHG_TOI_1;WHG_TOI_0;WHG_WSS_1;WHG_WSS_0;WHG_AUSST_1;WHG_AUSST_2;WHG_AUSST_3;WHG_AUSST_4;OBJ_TYP_1;OBJ_TYP_2;OBJ_TYP_3;OBJ_TYP_4;OBJ_TYP_5;OBJ_EIGENT_1;OBJ_EIGENT_2;OBJ_EIGENT_3;OBJ_EIGENT_4;OBJ_BAUP_1;OBJ_BAUP_2;OBJ_BAUP_3;OBJ_BAUP_4;OBJ_BAUP_5;OBJ_BAUP_6;OBJ_BAUP_7;OBJ_BAUP_8;OBJ_BAUP_9;OBJ_ANZWHG_1;OBJ_ANZWHG_2;OBJ_ANZWHG_3;OBJ_ANZWHG_4;OBJ_ANZWHG_5;OBJ_ANZWHG_6;REF_DAT
AT1;AT13;AT130;90100;90101;3004;2148;856;856;1178;560;388;22;50;321;2342;291;284;501;1833;386;384;504;930;706;480;2900;104;2910;94;2904;100;2999;5;2755;81;68;100;1;12;2614;58;319;1372;514;0;1118;2076;278;289;260;10;45;38;8;0;20;32;247;616;1086;1003;20111031
AT1;AT13;AT130;90100;90102;1049;781;268;268;377;205;185;14;22;111;813;103;51;117;645;236;115;116;220;251;347;1014;35;1027;22;1030;19;1049;0;981;30;19;19;4;0;825;0;220;598;38;1;412;732;158;101;32;0;11;3;6;6;10;2;66;265;433;273;20111031
AT1;AT13;AT130;90100;90103;1389;1023;366;366;476;286;241;20;18;234;972;165;82;129;892;286;99;108;335;406;441;1348;41;1362;27;1366;23;1388;1;1309;36;21;23;0;0;1096;0;293;768;63;0;558;1006;12;286;0;6;4;61;1;13;22;14;115;424;570;244;20111031
AT1;AT13;AT130;90100;90104;1014;722;292;292;309;222;177;14;18;50;837;109;27;89;619;279;45;82;236;252;399;971;43;982;32;982;32;1013;1;919;39;24;32;3;6;791;14;200;426;217;10;361;966;11;16;7;0;0;1;2;11;14;24;76;337;519;44;20111031
AT1;AT13;AT130;90100;90105;1337;1064;273;273;494;300;255;15;10;145;1073;109;59;175;889;214;87;182;390;344;334;1275;62;1309;28;1313;24;1337;0;1234;56;23;24;0;4;1198;0;135;653;219;6;459;1008;17;187;85;0;8;6;0;26;11;10;38;330;702;246;20111031
AT1;AT13;AT130;90100;90106;1915;1463;452;452;826;333;281;23;32;231;1485;167;183;308;1157;267;271;356;504;438;346;1857;58;1876;39;1863;52;1915;0;1783;54;26;52;3;8;1738;0;166;1061;372;24;458;1180;171;399;85;12;36;13;10;9;17;22;126;515;725;510;20111031
AT1;AT13;AT130;90100;90107;2032;1434;598;598;779;368;269;18;16;434;1366;216;192;299;1235;306;272;292;561;494;413;1979;53;1977;55;1994;38;2031;1;1902;46;46;38;0;4;1662;16;350;1087;413;12;520;1146;47;614;203;22;0;0;0;0;10;14;150;449;770;639;20111031
AT1;AT13;AT130;90200;90201;5178;4851;327;327;2137;1359;1263;92;18;410;4603;147;403;1018;3698;59;701;1172;2626;655;24;5114;64;5074;104;5007;171;5175;3;4908;36;63;171;0;4;5092;72;10;1112;1821;1573;672;739;329;664;538;626;118;745;284;1135;3;6;8;29;1462;3670;20111031
AT1;AT13;AT130;90200;90202;6345;5437;908;908;2498;1488;1329;122;102;886;4893;464;653;1233;4265;194;1519;1668;2268;755;135;5658;687;5924;421;5406;939;6308;37;4909;333;164;939;6;2;6258;0;79;4585;817;221;722;4332;200;730;628;117;229;67;11;31;13;6;20;367;2809;3130;20111031
AT1;AT13;AT130;90200;90203;7549;6281;1268;1268;3160;1668;1377;76;113;1009;5896;531;586;1350;5196;417;1367;1825;2743;1404;210;6935;614;7173;376;6908;641;7529;20;6366;347;195;641;7;4;7364;75;99;4965;1107;523;954;4465;494;794;604;170;212;322;399;89;14;4;83;791;3869;2788;20111031
