Wohnungen nach Nutzfläche und Gemeindebezirken 1981, 1991, 2001 und 2011;;;;;;;;;;
Gemeindebezirk;Ø Wohnnutzfläche in m²;;;;;;;;;
;pro Wohnung;;;;;pro BewohnerIn;;;;
;1981;1991,0;2001,0;2011,0;2021,0;1981;1991,0;2001;2011,0;2021,0
Wien;64;68,0;70,90905046338632;72,365105;75,2568914821011;31;33,0;37,93135085590264;35,3595188968555;38,2935440392692
1. Innere Stadt;101;100,0;103,7520206555905;103,901563404748;105,143146361796;51;53,0;55,78361902462579;54,79357518016367;56,6352556289691
2. Leopoldstadt;65;67,0;68,20843275802154;69,5415275868839;70,3444890139496;30;32,0;34,23149902917137;33,16486843611166;35,0310270119855
3. Landstraße;68;70,0;72,7259330373215;73,5915991902834;73,1298137544701;34;36,0;39,13677929324241;37,84795390821868;38,4401525523176
4. Wieden;80;81,0;83,14771155745802;84,1986141732283;84,0338184672987;41;42,0;45,55319839809503;43,53918566775244;44,1596902668909
5. Margareten;58;61,0;63,29613112701952;64,1745100170271;64,1022815294697;30;32,0;33,87073747671181;33,68017872421333;34,4191054143981
6. Mariahilf;74;76,0;76,94418825444188;78,1828966236475;77,8119925046846;37;39,0;42,30495898583147;40,83342978723405;42,3572812893135
7. Neubau;72;75,0;77,170033781546;78,2986405855939;78,5325913208217;37;40,0;42,53042748147337;42,40317798727472;43,5072977139296
8. Josefstadt;77;80,0;82,78137339055795;83,1414666890417;83,2704035505877;40;42,0;45,05292908530318;42,11313697989715;45,4552021176365
9. Alsergrund;72;74,0;77,6203149368617;78,0956295975768;78,0112611581598;37;39,0;42,73729259577297;41,34053600061083;42,6989050637669
10. Favoriten;55;60,0;62,34105628982149;64,4155425975364;65,3172240957891;26;29,0;34,31002854534653;30,90834265038851;30,5432370259986
11. Simmering;61;64,0;67,46354718621777;68,8727315914489;69,7896503261804;26;29,0;35,69699496764918;31,83266547366803;32,1038452260337
12. Meidling;57;61,0;63,50871802557953;64,7728249566724;65,4138780581859;28;31,0;34,12775182560137;31,67173994101895;32,2345867995439
13. Hietzing;78;81,0;85,06178637946392;87,8676063124924;89,2045216581999;36;40,0;45,52628613530967;43,22219808003793;44,3374773524536
14. Penzing;62;67,0;70,99465308078388;72,3141842637445;73,2035122842905;30;34,0;38,12271625336891;36,23420249555208;36,8152627143686
15. Rudolfsheim-Fünfhaus;53;56,0;59,67493012516709;61,1176222833717;61,2616161616162;28;28,0;31,45684864596512;30,53394775972842;31,4127877656167
16. Ottakring;52;56,0;60,30650615447045;62,3168169101647;62,9161658949857;27;29,0;32,34987665070382;31,4241018245658;31,9538700155101
17. Hernals;57;62,0;66,76175;68,5051340996168;69,1189107084735;29;31,0;34,94617230098146;34,04322080691533;34,7094600730073
18. Währing;68;73,0;77,7119300382875;78,9259411474601;79,3663524462449;35;37,0;41,3657333425971;40,32221219056417;41,0255517074742
19. Döbling;74;77,0;79,91022799720696;81,5118404531783;83,025387634663;35;38,0;43,71129415281399;40,86749527866836;42,071333859956
20. Brigittenau;54;58,0;59,7579374427431;61,4870606315998;61,5421028343818;27;29,0;31,74344428686633;29,75803781371467;30,7121230485795
21. Floridsdorf;63;68,0;71,86664706074568;73,9960088041085;74,253683637024;27;32,0;38,38414953401515;35,02888262180298;35,0380088894983
22. Donaustadt;71;75,0;79,2896351885917;80,9252215198608;80,7689527503526;28;32,0;41,76935742524162;36,32382804998173;36,8018958392955
23. Liesing;72;77,0;79,98256425672629;81,4214183851325;81,3467479367002;30;34,0;42,88152575381103;38,08073600406539;38,2881555266487
Quelle: Statistik Austria – Gebäude- bzw. Häuser- und Wohnungszählungen 1981–2001, Registerzählung 2011 (Hauptwohnsitze).;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
