BEZ,quintile,resid_inc_avg,dispo_inc,total_cost,resid_inc_avg_sd,housing_cost,utilities_cost,transport_cost,food_cost,share_housing_dispo,share_housing_cost
01,4,2247.8396562409935,6903.2206543470875,4655.380998106095,0.9483293821944598,2409.110890986886,472.14239895200706,959.5476709542453,814.5800372129563,0.3489836138252112,0.5174895227623608
02,2,1706.7181693213524,4471.4775359470605,2764.759366625708,-0.8194924339518053,1273.8147002789929,341.77493960832055,621.5353774966414,527.6343492417531,0.2848755674245378,0.46073257429041253
03,3,1881.9817359377093,4831.363448444372,2949.3817125066626,-0.24691351382104387,1345.624738142135,362.0965681143243,671.5595193337678,570.1008869164358,0.2785186319558315,0.4562396018243757
04,4,2061.105050695175,5309.649131227254,3248.5440805320786,0.3382750459814379,1484.385169492002,399.5790843146726,738.0412292405883,626.5385974848159,0.279563702385153,0.4569385954734758
05,1,1611.804724048071,4070.0294533400465,2458.2247292919756,-1.1295707865133793,1081.162733692698,331.06442609088543,565.7340940142665,480.2634754941255,0.2656400269549519,0.4398144404006942
06,1,1566.109738652529,4586.667119383635,3020.5573807311057,-1.278854439118955,1463.5923734813248,378.1915575681866,637.5467295943253,541.2267200872689,0.31909714295508,0.4845438073177978
07,2,1769.070016491669,4830.47574329598,3061.4057268043107,-0.6157914936469292,1439.3048447785857,380.6686159986579,671.4361283181412,569.9961377089255,0.2979633728160499,0.4701450814495677
08,4,2100.1226435328217,5288.807880848376,3188.6852373155543,0.46574392958566113,1432.506766399043,396.95484553847854,735.1442954379244,624.0793299401083,0.270856268306962,0.4492468399311253
09,3,2014.398176115622,5114.612494620652,3100.21431850503,0.18568559270400142,1406.8823638230144,378.87654356450764,710.9311367522707,603.5242743652369,0.27507115452103514,0.45380164701046677
10,3,1983.479097736829,4493.178323584009,2509.69922584718,0.08467422535964118,1080.2365332861555,274.7158633999342,624.5517869781773,530.1950421829131,0.24041701786375988,0.43042469876903605
11,3,1851.2610676107317,4474.016102038602,2622.7550344278707,-0.34727668362267045,1192.4433173655814,280.48957883836835,621.8882381833657,527.933900040555,0.2665263803637721,0.45465295146243107
12,1,1618.0300561372544,4060.1265669329364,2442.096510795682,-1.1092328806160143,1071.2476786928435,327.39630440107413,564.3575928036782,479.0949348980865,0.26384588288883704,0.4386590267654124
13,5,2450.719202334789,5879.9461508550385,3429.22694852025,1.6111285803488755,1511.8779764243848,406.20281132612047,817.3125149688505,693.8336458008945,0.2571244595844697,0.4408801164579606
14,3,1926.7319706571718,4781.724799510779,2854.9928288536075,-0.10071632312164731,1284.7094046918594,341.38015068747785,664.6597471319983,564.2435263422719,0.26867071162759065,0.4499869112482923
15,1,1621.4688551285494,3879.046039602575,2257.577184474025,-1.0979984646390049,939.3627134072742,321.29963888888904,539.187399504758,457.72743267310386,0.24216333186484065,0.41609328791393185
16,2,1754.5251100174687,4155.293845276805,2400.768735259336,-0.6633091095621091,1005.8710634258507,326.98715359734666,577.585844493476,490.3246737426629,0.24206977914911926,0.4189787415392988
17,5,2336.4748882889808,5151.294885605384,2814.819997316403,1.2378970683449229,1142.6281228221085,348.309088893711,716.0299890991483,607.8527965014353,0.2218137668676341,0.4059329278289443
18,5,2547.6208280240403,5844.933037453014,3297.3122094289733,1.9277022371974672,1411.6297489362487,383.5346698673002,812.445692205969,689.7020984194555,0.24151341681604277,0.4281152827747282
19,5,2277.9608784786797,5556.176613637572,3278.215735158892,1.0467341860840518,1494.1217099257306,356.15663552830586,772.3085492956226,655.6288404092335,0.26891184600907503,0.4557728443254244
20,1,1422.188802012467,3891.268299356151,2469.079497343684,-1.7490382661202457,1178.4923793566104,290.53116505254263,540.886293610505,459.1696593240258,0.3028555958353228,0.4773002977929511
21,2,1831.3485832943818,4620.809327011555,2789.4607437171735,-0.41232995731265315,1329.2500688576713,272.66267781753226,642.2924964546062,545.2555005873635,0.2876660720639052,0.47652582021510803
22,5,2265.9099634860836,5346.098784026669,3080.1888205405853,1.007364338566614,1454.0200917687357,252.22134127699547,743.1077309797071,630.8396565151469,0.2719777823995933,0.47205550584186245
23,4,2177.0277474113013,5279.151517532169,3102.1237701208674,0.7169897656793235,1443.343586338541,302.03824377655917,733.8020609369715,622.9398790687959,0.2734044631121436,0.4652759507020909
